pdf_path,page_no,success,processing_time,error,timestamp
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,13,True,0.35,,2025-10-08T17:33:40.863149
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,14,True,0.42,,2025-10-08T17:33:41.288258
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,15,True,0.34,,2025-10-08T17:33:41.627954
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,16,True,0.34,,2025-10-08T17:33:41.969062
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,17,True,6.66,,2025-10-08T17:33:48.632259
data\drive\Secondary Sources\27_arastirma_3-libre.pdf,18,True,6.98,,2025-10-08T17:33:55.614036
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,1,True,8.36,,2025-10-08T17:34:03.973147
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,2,True,0.33,,2025-10-08T17:34:04.304536
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,3,True,0.39,,2025-10-08T17:34:04.693711
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,4,True,0.34,,2025-10-08T17:34:05.039321
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,5,True,0.37,,2025-10-08T17:34:05.405832
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,6,True,0.36,,2025-10-08T17:34:05.770824
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,7,True,0.44,,2025-10-08T17:34:06.216287
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,8,True,0.47,,2025-10-08T17:34:06.682829
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,9,True,0.38,,2025-10-08T17:34:07.062197
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,10,True,0.37,,2025-10-08T17:34:07.428916
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,11,True,0.36,,2025-10-08T17:34:07.794929
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,12,True,0.37,,2025-10-08T17:34:08.161624
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,13,True,0.03,,2025-10-08T17:34:08.193832
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,14,True,0.03,,2025-10-08T17:34:08.228756
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,15,True,0.02,,2025-10-08T17:34:08.254432
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,16,True,0.02,,2025-10-08T17:34:08.280203
data\drive\Secondary Sources\28_arastirma_3-libre.pdf,17,True,0.02,,2025-10-08T17:34:08.301437
