pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
NABU 1987.1 - 4014.4.pdf,1096,1664,True,False,False,2025-10-09T18:58:02.177589
"Grayson, A. Kirk - Assyrian Rulers of the Third and Second Millennia BC (to 1115 BC). RIMA 1, 1987.pdf",190,128726,True,True,False,2025-10-09T19:00:10.904092
AKT 7b.pdf,450,108,True,True,False,2025-10-09T19:00:11.186760
Keibi65-Band 65 (2006).pdf,17,983,True,False,False,2025-10-09T19:00:12.798882
Erol OLD_ASSYRIAN_METAL_TRADE_ITS_VOLUME_AND.pdf,3,520,True,False,False,2025-10-09T19:00:13.320004
oip129 ED to OAkk transition.pdf,203,123,True,True,False,2025-10-09T19:00:13.444026
"Klinkott, Kubisch, and Muller-Wollermann, eds - Geschenke und Steuern, Zolle und Tribute. CHANE 29, 2007.pdf",476,150,True,False,False,2025-10-09T19:00:13.595236
Stratford_2015_Subartu_35.pdf,4,778,True,False,False,2025-10-09T19:00:14.374468
"AnSt 16, 1966.pdf",134,54,True,False,False,2025-10-09T19:00:14.517683
CAD (A-N).pdf,3850,848,True,False,False,2025-10-09T19:00:15.366393
Bryce_1985_AoF12_developments.pdf,4,469,True,False,False,2025-10-09T19:00:15.835927
afo_realien.pdf,1203,625,True,False,False,2025-10-09T19:00:21.088353
momrak.pdf,328,102,True,False,False,2025-10-09T19:00:21.191257
afo_realien.pdf,1563,458,True,False,False,2025-10-09T19:00:21.650530
"Edwards, I.E.S. ed. - Early History of the Middle East. CAH  1.2, 1971.pdf",904,258,True,False,False,2025-10-09T19:00:23.356671
"Anatolica 30, 2004.pdf",35,67,True,False,False,2025-10-09T19:00:23.706081
RGTC-10 Fincke (1993).pdf,226,7959,True,False,False,2025-10-09T19:00:31.665644
"Barjamovic, Gojko - A Historical Geography of Ancient Anatolia in the Assyrian Colony Period. CNI 38, 2011.pdf",204,98,True,False,False,2025-10-09T19:00:31.764821
Radau BE 17 1.pdf,90,221,True,False,False,2025-10-09T19:00:31.986800
"Dercksen, J.G. et al. - Veenhof Anniversary Volume. PIHANS 89, 2001.pdf",207,61453,True,False,False,2025-10-09T19:01:33.440812
Papazan 2005 Dissertation-NEW.pdf,123,81,True,False,False,2025-10-09T19:01:33.615534
CAD (N-Z).pdf,3543,1341,True,False,False,2025-10-09T19:01:34.957810
"AnSt 41, 1991.pdf",242,61,True,False,False,2025-10-09T19:01:36.540983
"AnSt 51, 2001.pdf",136,35,True,False,False,2025-10-09T19:01:36.576168
"Veenhof, Klaas R. - The Old Assyrian List of Year Eponyms from Karum Kanish. TTKY VI 64, 2003.pdf",6,31,True,False,False,2025-10-09T19:01:37.694621
"Michel, Cecile ed. - Old Assyrian Studies in Memory of Paul Garelli. PIHANS 112, 2008 (2).pdf",85,97,True,False,False,2025-10-09T19:01:37.791836
"Buccellati, Federiko - Altassyrische Glyptik. Eine Inhaltliche und Methodologische Annaherung. Diss Tubingen 2005.pdf",596,11334,True,False,False,2025-10-09T19:01:49.126810
"Barjamovic, Gojko - A Historical Geography of Anatolia in the Old Assyrian Colony Period. CNIP 38, 2011.pdf",352,57,True,False,False,2025-10-09T19:01:49.184719
Langdon PBS 10 4.pdf,14,1063,True,False,False,2025-10-09T19:01:50.275368
"Larsen 1979 - Power and Propaganda. Mesopotamia 7, 1979.pdf",141,3482,True,True,False,2025-10-09T19:02:00.068891
"Edwards, I.E.S. ed. - Early History of the Middle East. CAH  1.2, 1971.pdf",642,251,True,False,False,2025-10-09T19:02:00.321351
"Hoffner, H & G. Beckman eds - Kaniššuwar. A Tribute to Hans G. Güterbock on his 75th Birthday. AS 23, 1986.pdf",62,3291,True,True,False,2025-10-09T19:02:03.668873
Alp_1997_ArAn3_BilgicFS_ticaret.pdf,15,481,True,False,False,2025-10-09T19:02:04.150672
"Larsen, M. T. - AKT 6b, 2013.pdf",304,916,True,False,False,2025-10-09T19:02:06.608757
CAD (N-Z).pdf,3161,895,True,False,False,2025-10-09T19:02:07.505250
