pdf_path,page_no,success,processing_time,error,timestamp
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (1).pdf,1962,True,17.11,,2025-10-09T11:48:23.468595
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Albayrak_2002_ArAn5_listesi.pdf,4,True,0.97,,2025-10-09T11:48:24.443346
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Walthers KUB 14.pdf,39,True,13.96,,2025-10-09T11:48:38.401549
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (1).pdf,883,True,14.48,,2025-10-09T11:48:52.887592
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Polanyi_Trade_Market.pdf,29,True,13.31,,2025-10-09T11:49:06.201664
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Porter, Barbara A. - Old Syrian Popular Style Cylinder Seals. Diss Columbia 2001.pdf",1065,True,34.62,,2025-10-09T11:49:40.823950
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KUB 19.pdf,49,True,16.21,,2025-10-09T11:49:57.039035
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\TCL 4, 1919.pdf",30,True,12.62,,2025-10-09T11:50:09.660448
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Olmstead_1942_JNES1_Aramaic_Gospel.pdf,10,True,10.83,,2025-10-09T11:50:20.495937
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Kouwenberg_2017_GOA_HdO118.pdf,452,True,1.25,,2025-10-09T11:50:21.743478
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Michel, Cécile - Innāya dans les Tablettes Paléo-Assyriennes II, Edition des Textes. ERC 2, 1991.pdf",20,True,11.32,,2025-10-09T11:50:33.066662
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,1728,True,1.15,,2025-10-09T11:50:34.219121
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\HT.pdf,27,True,12.98,,2025-10-09T11:50:47.196511
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,338,True,1.87,,2025-10-09T11:50:49.068174
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Abbreviations for AfO.pdf,46,True,1.39,,2025-10-09T11:50:50.460382
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Veenhof, Klaas R. - The Old Assyrian Hamuštum Period. A Seven-Day Week. JEOL 34 1995-1996, pp. 4-41(cut).pdf",27,True,0.04,,2025-10-09T11:50:50.501470
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tashin - Kültepe-Kaniš. The Palaces and Temples of Kültepe-Kaniš. TTKY V 46, 1999(cut).pdf",179,True,11.97,,2025-10-09T11:51:02.469865
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Faist, Betina - Der Fernhandel des assyrischen Reiches. AOAT 265, 2001.pdf",342,True,0.39,,2025-10-09T11:51:02.858502
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Orlin, Louis L. - Assyrian Colonies in Cappadocia (ACC). SAH 1, 1970(cut).pdf",92,True,10.70,,2025-10-09T11:51:13.563102
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Bar-am_1935_Studies of business letters.pdf,26,True,2.87,,2025-10-09T11:51:16.437329
