pdf_path,page_no,success,processing_time,error,timestamp
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Papazan 2005 Dissertation-NEW.pdf,123,True,0.51,,2025-10-09T16:37:59.477417
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,3543,True,1.88,,2025-10-09T16:38:01.356456
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 51, 2001.pdf",136,True,0.69,,2025-10-09T16:38:02.049383
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\musti1984.PDF,15,True,16.99,,2025-10-09T16:38:19.039786
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Erkanal, Armagan - Die in Anatolien vorkommenden altsyrischen Siegel und Siegelabdrucke. TTKY VI 42, 1993.pdf",307,True,9.84,,2025-10-09T16:38:28.885093
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\ANATOLIAS_PROLOGUE_KULTEPE_KANESH_KARUM.pdf,306,True,11.40,,2025-10-09T16:38:40.285606
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,3161,True,1.60,,2025-10-09T16:38:41.890017
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,468,True,0.75,,2025-10-09T16:38:42.644302
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,2058,True,1.62,,2025-10-09T16:38:44.266514
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,1363,True,0.71,,2025-10-09T16:38:44.979824
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Klinkott, Kubisch, and Muller-Wollermann, eds - Geschenke und Steuern, Zolle und Tribute. CHANE 29, 2007.pdf",555,True,0.44,,2025-10-09T16:38:45.420293
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Mazzini_1997_SEL14_Torture_Mot.pdf,3,True,9.90,,2025-10-09T16:38:55.321931
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 44, 1994.pdf",116,True,0.68,,2025-10-09T16:38:56.005386
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Leinwand, Nancy W. - A Study of Anatolian Weathergods of the Old Assyrian Colony Period. Diss. Bryn Mawr 1984.pdf",113,True,0.59,,2025-10-09T16:38:56.594056
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 51, 2001.pdf",142,True,1.02,,2025-10-09T16:38:57.611301
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,149,True,1.28,,2025-10-09T16:38:58.891042
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 12, 1962.pdf",130,True,0.67,,2025-10-09T16:38:59.561669
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,1204,True,1.14,,2025-10-09T16:39:00.699572
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Ozguc, Nimet - The Anatolian Group of Cylinder Seal Impressions from Kultepe. TTKY V 22, 1965.pdf",38,True,9.16,,2025-10-09T16:39:09.864937
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\vonDassowdiss.pdf,167,True,1.08,,2025-10-09T16:39:10.947940
